date,index_members,priced_members,missing,coverage
2014-02-28,497,360,137,0.7243460764587525
2014-03-31,497,360,137,0.7243460764587525
2014-04-30,498,361,137,0.7248995983935743
2014-05-30,498,362,136,0.7269076305220884
2014-06-30,498,363,135,0.7289156626506024
2014-07-31,498,365,133,0.7329317269076305
2014-08-29,499,365,134,0.7314629258517034
2014-09-30,499,366,133,0.7334669338677354
2014-10-31,499,366,133,0.7334669338677354
2014-11-28,499,366,133,0.7334669338677354
2014-12-31,499,366,133,0.7334669338677354
2015-01-30,499,367,132,0.7354709418837675
2015-02-27,499,367,132,0.7354709418837675
2015-03-31,500,371,129,0.742
2015-04-30,500,373,127,0.746
2015-05-29,500,373,127,0.746
2015-06-30,499,373,126,0.7474949899799599
2015-07-31,500,375,125,0.75
2015-08-31,500,375,125,0.75
2015-09-30,503,377,126,0.7495029821073559
2015-10-30,503,378,125,0.7514910536779325
2015-11-30,504,379,125,0.751984126984127
2015-12-31,502,380,122,0.7569721115537849
2016-01-29,505,382,123,0.7564356435643564
2016-02-29,505,384,121,0.7603960396039604
2016-03-31,505,387,118,0.7663366336633664
2016-04-29,506,387,119,0.7648221343873518
2016-05-31,505,391,114,0.7742574257425743
2016-06-30,505,392,113,0.7762376237623763
2016-07-29,505,397,108,0.7861386138613862
2016-08-31,505,397,108,0.7861386138613862
2016-09-30,506,399,107,0.7885375494071146
2016-10-31,506,401,105,0.7924901185770751
2016-11-30,506,402,104,0.7944664031620553
2016-12-30,506,403,103,0.7964426877470355
2017-01-31,506,404,102,0.7984189723320159
2017-02-28,506,405,101,0.8003952569169961
2017-03-31,506,409,97,0.808300395256917
2017-04-28,506,411,95,0.8122529644268774
2017-05-31,506,411,95,0.8122529644268774
2017-06-30,506,411,95,0.8122529644268774
2017-07-31,506,413,93,0.8162055335968379
2017-08-31,506,413,93,0.8162055335968379
2017-09-29,506,414,92,0.8181818181818182
2017-10-31,506,415,91,0.8201581027667985
2017-11-30,506,415,91,0.8201581027667985
2017-12-29,505,415,90,0.8217821782178217
2018-01-31,506,416,90,0.8221343873517787
2018-02-28,506,416,90,0.8221343873517787
2018-03-29,506,418,88,0.8260869565217391
2018-04-30,506,418,88,0.8260869565217391
2018-05-31,506,419,87,0.8280632411067194
2018-06-29,506,417,89,0.8241106719367589
2018-07-31,506,418,88,0.8260869565217391
2018-08-31,506,419,87,0.8280632411067194
2018-09-28,505,419,86,0.8297029702970297
2018-10-31,504,419,85,0.8313492063492064
2018-11-30,503,419,84,0.8330019880715706
2018-12-31,505,422,83,0.8356435643564356
2019-01-31,505,421,84,0.8336633663366336
2019-02-28,505,422,83,0.8356435643564356
2019-03-29,505,422,83,0.8356435643564356
2019-04-30,505,421,84,0.8336633663366336
2019-05-31,505,421,84,0.8336633663366336
2019-06-28,505,422,83,0.8356435643564356
2019-07-31,505,424,81,0.8396039603960396
2019-08-30,505,427,78,0.8455445544554455
2019-09-30,505,428,77,0.8475247524752475
2019-10-31,505,429,76,0.8495049504950495
2019-11-29,505,430,75,0.8514851485148515
2019-12-31,505,433,72,0.8574257425742574
2020-01-31,505,434,71,0.8594059405940594
2020-02-28,505,434,71,0.8594059405940594
2020-03-31,505,438,67,0.8673267326732673
2020-04-30,505,439,66,0.8693069306930693
2020-05-29,505,441,64,0.8732673267326733
2020-06-30,505,443,62,0.8772277227722772
2020-07-31,505,443,62,0.8772277227722772
2020-08-31,505,443,62,0.8772277227722772
2020-09-30,505,443,62,0.8772277227722772
2020-10-30,505,444,61,0.8792079207920792
2020-11-30,505,445,60,0.8811881188118812
2020-12-31,505,445,60,0.8811881188118812
2021-01-29,505,447,58,0.8851485148514852
2021-02-26,505,447,58,0.8851485148514852
2021-03-31,505,450,55,0.8910891089108911
2021-04-30,505,451,54,0.8930693069306931
2021-05-28,505,452,53,0.8950495049504951
2021-06-30,505,452,53,0.8950495049504951
2021-07-30,505,453,52,0.897029702970297
2021-08-31,505,455,50,0.900990099009901
2021-09-30,505,454,51,0.899009900990099
2021-10-29,505,454,51,0.899009900990099
2021-11-30,505,454,51,0.899009900990099
2021-12-31,505,455,50,0.900990099009901
2022-01-31,505,456,49,0.902970297029703
2022-02-28,505,458,47,0.906930693069307
2022-03-31,505,459,46,0.9089108910891089
2022-04-29,504,461,43,0.9146825396825397
2022-05-31,504,463,41,0.9186507936507936
2022-06-30,503,465,38,0.9244532803180915
2022-07-29,503,465,38,0.9244532803180915
2022-08-31,503,465,38,0.9244532803180915
2022-09-30,503,465,38,0.9244532803180915
2022-10-31,503,468,35,0.9304174950298211
2022-11-30,503,470,33,0.9343936381709742
2022-12-30,503,472,31,0.9383697813121272
2023-01-31,503,472,31,0.9383697813121272
2023-02-28,503,472,31,0.9383697813121272
2023-03-31,503,474,29,0.9423459244532804
2023-04-28,503,474,29,0.9423459244532804
2023-05-31,503,476,27,0.9463220675944334
2023-06-30,503,476,27,0.9463220675944334
2023-07-31,503,477,26,0.94831013916501
2023-08-31,503,477,26,0.94831013916501
2023-09-29,503,477,26,0.94831013916501
2023-10-31,503,477,26,0.94831013916501
2023-11-30,503,477,26,0.94831013916501
2023-12-29,503,479,24,0.952286282306163
2024-01-31,503,479,24,0.952286282306163
2024-02-29,503,479,24,0.952286282306163
2024-03-28,503,481,22,0.9562624254473161
2024-04-30,503,479,24,0.952286282306163
2024-05-31,503,481,22,0.9562624254473161
2024-06-28,503,482,21,0.9582504970178927
2024-07-31,503,483,20,0.9602385685884692
2024-08-30,503,483,20,0.9602385685884692
2024-09-30,504,483,21,0.9583333333333334
2024-10-31,503,483,20,0.9602385685884692
2024-11-29,503,484,19,0.9622266401590457
2024-12-31,503,486,17,0.9662027833001988
2025-01-31,503,486,17,0.9662027833001988
2025-02-28,503,486,17,0.9662027833001988
2025-03-31,503,488,15,0.9701789264413518
2025-04-30,503,488,15,0.9701789264413518
2025-05-30,503,489,14,0.9721669980119284
2025-06-30,503,489,14,0.9721669980119284
2025-07-31,503,492,11,0.9781312127236581
2025-08-29,503,493,10,0.9801192842942346
2025-09-30,503,493,10,0.9801192842942346
2025-10-31,503,492,11,0.9781312127236581
2025-11-28,503,492,11,0.9781312127236581
2025-12-31,503,494,9,0.9821073558648111
2026-01-30,503,495,8,0.9840954274353877
2026-02-27,503,497,6,0.9880715705765407
2026-03-31,503,496,7,0.9860834990059643
2026-04-30,503,497,6,0.9880715705765407
2026-05-29,503,499,4,0.9920477137176938
2026-06-29,504,499,5,0.9900793650793651
